"user_statuses_count","user_followers_count","full_text","user_url","user_location","user_description","user_profile_image_url_https","is_quote_status","quote_count","user_friends_count","full_text_norm","entities_user_mentions","entities_urls","in_reply_to_user_id_str","favorite_count","lang","user_created_at","user_listed_count","created_at","user_id_str","user_favourites_count","user_verified","source","in_reply_to_status_id_str","reply_count","in_reply_to_screen_name","id_str","entities_hashtags","text_sentiment","retweet_count","user_name","user_screen_name"
"None","None","Pengajian Sholawat Nariah kluatga besar Kecamatan Situbondo #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","None","None","None","None","None","None","None","Pengajian Sholawat Nariah kluatga besar Kecamatan Situbondo #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","","None","",0,"None","None","None","2019-12-26 17:25","None","None","None","None","None",0,"","1210250182107029505","situbondospecial situbondokab situbondo stbdkab banggasitubondo","positive",0,"KECAMATAN SITUBONDO","kec_situbondo"
"None","None","Memperingati Hari Disabilitas Internasion di wisata KK 26 Desa Olean bersama Kecamatan Situbondo dan PPDI, LPM Merak serta Puskesmas situbondo #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","None","None","None","None","None","None","None","Memperingati Hari Disabilitas Internasion di wisata KK 26 Desa Olean bersama Kecamatan Situbondo dan PPDI, LPM Merak serta Puskesmas situbondo #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","","None","",0,"None","None","None","2019-12-15 05:59","None","None","None","None","None",0,"","1206091378721280002","situbondospecial situbondokab situbondo stbdkab banggasitubondo","neutral",0,"KECAMATAN SITUBONDO","kec_situbondo"
"None","None","Agro Expo Situbondo 2019 Stan Kecamatan Situbondo_aktif Kunjungan Bpk Sekda dan Anggota DPRD kab. Sit #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","None","None","None","None","None","None","None","Agro Expo Situbondo 2019 Stan Kecamatan Situbondo_aktif Kunjungan Bpk Sekda dan Anggota DPRD kab. Sit #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","","None","",0,"None","None","None","2019-12-14 12:34","None","None","None","None","None",0,"","1205828355519418369","situbondospecial situbondokab situbondo stbdkab banggasitubondo","neutral",0,"KECAMATAN SITUBONDO","kec_situbondo"
"None","None","Agro Expo Situbondo 2019 Stan Kecamatan Situbondo_aktif #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","None","None","None","None","None","None","None","Agro Expo Situbondo 2019 Stan Kecamatan Situbondo_aktif #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","","None","",0,"None","None","None","2019-12-14 12:29","None","None","None","None","None",0,"","1205827029561741314","situbondospecial situbondokab situbondo stbdkab banggasitubondo","neutral",0,"KECAMATAN SITUBONDO","kec_situbondo"
"None","None","Sosialisasi Peningkatan Pelaku Usaha Mikro di Desa Kotakan yg di ikuti warga deda Kotakan dan Kalibagor #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","None","None","None","None","None","None","None","Sosialisasi Peningkatan Pelaku Usaha Mikro di Desa Kotakan yg di ikuti warga deda Kotakan dan Kalibagor #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","","None","",0,"None","None","None","2019-12-12 14:23","None","None","None","None","None",0,"","1205130944580993024","situbondospecial situbondokab situbondo stbdkab banggasitubondo","neutral",0,"KECAMATAN SITUBONDO","kec_situbondo"
"None","None","Ayo ramaikan... Hadiri dan Ikuti... LOMBA BALAB KURSI RODA UNTK PESERTA NON DIFABEL... Pasti seru.... #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","None","None","None","None","None","None","None","Ayo ramaikan... Hadiri dan Ikuti... LOMBA BALAB KURSI RODA UNTK PESERTA NON DIFABEL... Pasti seru.... #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","","None","",0,"None","None","None","2019-12-09 10:47","None","None","None","None","None",0,"","1203989656053829632","situbondospecial situbondokab situbondo stbdkab banggasitubondo","positive",0,"KECAMATAN SITUBONDO","kec_situbondo"
"None","None","Sukses untuk Kabupaten Situbondo... Trimakasih atas dukungan dan peran serta masyarakat situbondo #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","None","None","None","None","None","None","None","Sukses untuk Kabupaten Situbondo... Trimakasih atas dukungan dan peran serta masyarakat situbondo #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","","None","",0,"None","None","None","2019-12-07 01:28","None","None","None","None","None",0,"","1203124130142253057","situbondospecial situbondokab situbondo stbdkab banggasitubondo","positive",0,"KECAMATAN SITUBONDO","kec_situbondo"
"None","None","Pendistribusian bibit kpd kelompok tani Nusa Indah desa Kalibagor Smoga bermanfaat... #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","None","None","None","None","None","None","None","Pendistribusian bibit kpd kelompok tani Nusa Indah desa Kalibagor Smoga bermanfaat... #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","","None","",0,"None","None","None","2019-12-05 14:10","None","None","None","None","None",0,"","1202591095047065600","situbondospecial situbondokab situbondo stbdkab banggasitubondo","neutral",0,"KECAMATAN SITUBONDO","kec_situbondo"
"None","None","Penilaian Lapangan dan administrasi lomba ODF Kelurahan/Desa oleh Tim penilai fari Kabupaten sit di saluran irigasi Kel. Dawuhan kec. Situbondo #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","None","None","None","None","None","None","None","Penilaian Lapangan dan administrasi lomba ODF Kelurahan/Desa oleh Tim penilai fari Kabupaten sit di saluran irigasi Kel. Dawuhan kec. Situbondo #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","","None","",0,"None","None","None","2019-12-05 14:05","None","None","None","None","None",0,"","1202589851461156864","situbondospecial situbondokab situbondo stbdkab banggasitubondo","neutral",0,"KECAMATAN SITUBONDO","kec_situbondo"
"None","None","Tim Penilai Lomba ODF kelurahan/Desa lg berselfi selepas melaksanakan penilaian di saluran irigasi kelurahan Dawuhan (wisata Ipaduli) #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","None","None","None","None","None","None","None","Tim Penilai Lomba ODF kelurahan/Desa lg berselfi selepas melaksanakan penilaian di saluran irigasi kelurahan Dawuhan (wisata Ipaduli) #situbondospecial #situbondokab #situbondo #stbdkab #banggasitubondo ","","None","",0,"None","None","None","2019-12-05 13:58","None","None","None","None","None",0,"","1202587982605062146","situbondospecial situbondokab situbondo stbdkab banggasitubondo","neutral",0,"KECAMATAN SITUBONDO","kec_situbondo"
